1,Argentina, tests performed,ARG,4/25/2020,https://www.argentina.gob.ar/sites/default/files/25-04-20-reporte-matutino-covid-19.docx.pdf,Government of Argentina,,17,47406,1.042,2752,0.06,2726,0.06,Government of Argentina,https://www.argentina.gob.ar/coronavirus/informe-diario,The number of tests performed.
2,Australia, units unclear,AUS,4/25/2020,https://github.com/pappubahry/AU_COVID19,Federal Department of Health,Made available on GitHub by pappubahry,82,494257,19.46,11887,0.468,13938.667,0.549,Australian Department for Health; State-level Governments,https://www1.health.gov.au/internet/main/publishing.nsf/Content/novel_coronavirus_2019_ncov_weekly_epidemiology_reports_australia_2020.htm,"The source reports this data as the 'number of tests conducted'. However, based on the context, it is unclear whether this refers to the total number of tests conducted, or number of people who have been tested."
3,Austria, units unclear,AUT,4/26/2020,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,Austrian Ministry for Health,,60,227631,25.92,6542,0.745,7265.333,0.827,Austria Ministry for Health,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html,"The source reports this data as the 'number of tests carried out so far'. However, based on the context, it is unclear whether this refers to the total number of tests conducted, or number of people who have been tested."
4,Bahrain, units unclear,BHR,4/25/2020,https://www.moh.gov.bh/COVID19,Ministry of Health,,36,110407,65.031,5042,2.97,4203.667,2.476,Bahrain Ministry of Health,https://www.moh.gov.bh/COVID19,"The source reports the 'number of assessments' conducted. It is unclear whether this refers to the total number of tests conducted, or the number of people tested."
5,Bangladesh, samples tested,BGD,4/25/2020,https://covid19.cramstack.com/,Government of Bangladesh,,52,43012,0.253,3236,0.019,3446,0.02,Government of Bangladesh,https://corona.gov.bd/,The number of samples tested.
6,Belgium, tests performed,BEL,4/24/2020,https://epistat.sciensano.be/Data/COVID19BE_tests.csv,Sciensano (Belgian institute for health),,55,206425,17.765,8505,0.732,8817,0.759,Sciensano (Belgian institute for health),https://epistat.wiv-isp.be/covid/,"The figures are labelled as the 'total number of tests performed'. Note that from other countries, we see that such a label can be consistent with figures relating to the number of individuals tested."
7,Bolivia, cases tested,BOL,4/24/2020,https://github.com/mauforonda/covid19-bolivia/blob/master/data.json,Ministry of Health,Made available on Github by Mau Foronda,35,5297,0.459,302,0.026,292.333,0.025,Ministry of Health,https://www.minsalud.gob.bo/,The number of cases tested.
8,Bulgaria, tests performed,BGR,4/22/2020,http://web.archive.org/web/20200423114827/https://coronavirus.bg/,Bulgaria COVID-10 Information Portal,,3,27000,3.89,,,,,Bulgaria COVID-19 Information Portal,https://coronavirus.bg/,The number of tests performed.
9,Canada, people tested,CAN,4/26/2020,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html,Government of Canada,,39,684271,18.197,14713,0.391,21390,0.569,Government of Canada,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html,The number of people tested.
10,Chile, tests performed,CHL,4/25/2020,https://github.com/jorgeperezrojas/covid19-data,Ministry of Health,Made available by Jorge Perez Rojas on Github,25,149212,8.077,6945,0.376,6830,0.37,Ministry of Health,http://epi.minsal.cl/informes-covid-19/,The number of tests performed.
11,Colombia, samples processed,COL,4/25/2020,https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx,National Institute of Health,,53,81129,1.615,1626,0.032,2475,0.049,National Institute of Health,https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx,The number of samples processed.
12,Costa Rica, people tested,,4/25/2020,https://observador.cr/covid19-estadisticas/,Ministry of Health,,46,8835,1.752,87,0.017,147.333,0.029,Costa Rican Ministry of Health,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1532-lineamientos-nacionales-para-la-vigilancia-de-la-infeccion-por-coronavirus-2019-ncov,The number of people tested.
13,Croatia, units unclear,HRV,4/25/2020,https://www.koronavirus.hr/najnovije/ukupno-dosad-382-zarazene-osobe-u-hrvatskoj/35,Government of Croatia,,48,30913,7.511,700,0.17,1099.667,0.267,Government of Croatia,https://vlada.gov.hr,"Testing figures were reported as ""samples tested"" prior to March 24th 2020, but have been reported as ""tests performed"" since."
14,Cuba, tests performed,CUB,4/24/2020,https://covid19cubadata.github.io/#cuba,Ministry of Public Health,Made available on GitHub by covid19cubadata,34,37991,3.305,1857,0.162,1905,0.166,Ministry of Public Health,https://covid19cubadata.github.io/#cuba,"Units are unclear, and could refer to the number of tests performed, or people tested."
15,Czech Republic, tests performed,,4/25/2020,https://onemocneni-aktualne.mzcr.cz/api/v1/covid-19/testy.csv,Ministry of Health,,84,215116,20.23,4411,0.415,6461,0.608,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/api/v1/covid-19,The number of tests performed.
16,Denmark, people tested,DNK,4/25/2020,https://www.sst.dk/da/corona/tal-og-overvaagning,Danish Health Authority,,34,136738,23.589,11409,1.968,9424.333,1.626,Danish Health Authority,https://www.sst.dk/da/corona/tal-og-overvaagning,The number of people tested.
17,Ecuador, samples tested,ECU,4/24/2020,https://www.gestionderiesgos.gob.ec/wp-content/uploads/2020/04/INFOGRAFIA-NACIONALCOVI-19-COE-NACIONAL-24042020-08h00.pdf,Government of Ecuador,Sum of confirmados and descartados,38,45857,2.645,22474,1.296,8459,0.488,Government of Ecuador,https://www.gestionderiesgos.gob.ec/informes-de-situacion-covid-19-desde-el-13-de-marzo-del-2020/,The number of cases tested.
18,El Salvador, tests performed,,4/25/2020,https://covid19.gob.sv/,Government of El Salvador,updated at 12:43pm local time on 2020-04-25.,12,17423,2.689,,,,,Government of El Salvador,https://covid19.gob.sv/,The number of tests performed.
19,Estonia, units unclear,EST,4/25/2020,https://www.koroonakaart.ee/en,Estonian Central Health Information System and Patient Portal,,61,47933,36.856,604,0.464,921,0.708,Estonian Central Health Information System and Patient Portal,https://www.koroonakaart.ee/en,"The source reports this as the 'number of tests administered'. However, based on the context, it is unclear whether this refers to the total number of tests conducted, or number of people who have been tested."
20,Ethiopia, tests performed,ETH,4/25/2020,https://www.ephi.gov.et/images/novel_coronavirus/confirmed-case-Press-release_April-25_-ENG-V5-1.pdf,Ethiopian Public Health Institute,,21,12688,0.113,1019,0.009,,,Ethiopian Public Health Institute,https://www.ephi.gov.et,The number of tests performed.
21,Finland, tests sampled,FIN,4/24/2020,https://experience.arcgis.com/experience/d40b2aaf08be4b9c8ec38de30b714f26,Finnish Department of Health and Welfare,,44,77779,13.939,,0.14,,0.447,Finnish Department of Health and Welfare COVID-19 data dashboard,https://experience.arcgis.com/experience/d40b2aaf08be4b9c8ec38de30b714f26,The number of samples tested.
22,France, units unclear,FRA,4/21/2020,https://www.santepubliquefrance.fr/content/download/247350/2582571,Agence nationale de santÇ publique,Adding up hospital and laboratory tests.,22,595154,9.056,,,,,Agence nationale de santÇ publique,https://www.santepubliquefrance.fr/recherche/#search=COVID-19%20:%20point%20epidemiologique&sort=dat,"The testing figures are labelled as ?number of tests? in the source, but as of 2 April we are unsure of the right interpretation of the units."
23,Germany, tests performed,DEU,4/19/2020,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/2020-04-22-de.pdf?__blob=publicationFile,Robert Koch Institut,Subtracting weekly changes from cumulative total of samples tested,7,2072669,25.111,,,,,Robert Koch Institut,https://www.rki.de/SiteGlobals/Forms/Suche/serviceSucheForm.html?nn=2725444&input_=2375194&gts=2725442_list%253DdateOfIssue_dt%252Bdesc&resourceId=2390936&submit.x=0&submit.y=0&searchEngineQueryString=T%C3%A4glicher+Lagebericht+des+RKI+zur+Coronavirus-Krankheit-2019&pageLocale=de,The number of tests performed. Note that the number of laboratories reporting in the data seems to vary from week to week.
24,Ghana, units unclear,GHA,4/19/2020,https://www.ghanahealthservice.org/covid19/,Outbreak Response Management Situation Update,,7,68591,2.232,7675,0.25,,,Outbreak Response Management,https://www.ghanahealthservice.org/covid19/,"The units are unclear. Some press releases mention ""people tested"", while others give figures for ""samples tested""."
25,Greece, people tested,GRC,4/25/2020,https://eody.gov.gr/epidimiologika-statistika-dedomena/imerisies-ektheseis-covid-19/,National Organization of Public Health,Made available on Github by Covid-19 Response Greece,35,63087,5.682,1680,0.151,2047.667,0.184,The National Organization of Public Health,https://eody.gov.gr/epidimiologika-statistika-dedomena/imerisies-ektheseis-covid-19/,The number of people tested.
